Case Number,Date,Primary Type,Description,Location Description,Arrest,District,Latitude,Longitude,removal_reason
JF386469,2022-12-03 00:00:00,ROBBERY,ROBBERY - DETAIL,PARK,Y,9,41.82679753245039,-87.93833225905324,duplicate_case_number
JE699945,2024-02-23 03:32:37,THEFT,THEFT - DETAIL,GAS STATION,0,21,41.73884711571437,-87.7307178302767,duplicate_case_number
JH361982,2021-05-12 06:42:12,ASSAULT,ASSAULT - DETAIL,ALLEY,0,1,41.68751797173236,-87.64325043985174,duplicate_case_number
JG655703,2021-07-04 07:35:06,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,RESTAURANT,0,6,41.86195817256221,-87.87015836157053,duplicate_case_number
JE732599,2023-10-13 21:44:04,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,GAS STATION,False,11,41.98774918793477,-87.79896852127278,duplicate_case_number
JE261293,2021-05-03 05:52:42,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",0,9,41.72185526325647,-87.75751809212649,duplicate_case_number
JC485196,2023-08-16 15:56:22,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GAS STATION,False,2,41.75360106450517,-87.61907008618599,duplicate_case_number
JE921355,2024-09-05 10:22:03,BATTERY,BATTERY - DETAIL,PARKING LOT/GARAGE,True,18,41.92279549204028,-87.88034093236622,duplicate_case_number
JE357667,2020-09-09 00:00:00,ROBBERY,ROBBERY - DETAIL,  APARTMENT  ,false,1,41.64957646698359,-87.64908656513084,duplicate_case_number
JH311989,2024-08-09 01:24:12,ASSAULT,ASSAULT - DETAIL,PARKING LOT/GARAGE,0,24,41.68500447563577,-87.61637827020718,duplicate_case_number
JH719446,2022-08-27 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,  PARKING LOT/GARAGE  ,N,19,41.79303630121716,-87.64346123387641,duplicate_case_number
JF854464,2021-04-22 01:40:49,THEFT,THEFT - DETAIL,  ALLEY  ,False,4,42.01208204837832,-87.5695441577547,duplicate_case_number
JD347249,2024-11-08 02:08:53,BATTERY,BATTERY - DETAIL,CTA PLATFORM,1,12,41.81155407806443,-87.89095878569968,duplicate_case_number
JG951078,2023-03-23 15:01:11,BATTERY,BATTERY - DETAIL,PARKING LOT/GARAGE,False,21,41.70956112256352,-87.9001436575985,duplicate_case_number
JE503473,2020-03-04 23:57:53,THEFT,THEFT - DETAIL,BANK,,15,41.83932033444682,-87.64591192725624,duplicate_case_number
JF703226,2024-04-21 06:53:15,OTHER OFFENSE,OTHER OFFENSE - DETAIL,RESTAURANT,,9A,41.88292777917727,-87.88718188511626,duplicate_case_number
JG218422,2020-12-07 23:51:43,BATTERY,BATTERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",1,15,41.84395899497302,-87.7634129211173,duplicate_case_number
JH919354,2022-05-22 08:22:00,THEFT,THEFT - DETAIL,RESIDENCE,,25,41.75925672929273,-87.89677724577639,duplicate_case_number
JG618671,2022-10-26 18:59:22,THEFT,THEFT - DETAIL,GAS STATION,0,16,42.01372407978427,-87.75799929596243,duplicate_case_number
JD172546,2022-01-11 00:00:00,THEFT,THEFT - DETAIL,RESIDENCE,Y,4,41.68698798612946,-87.70295587841433,duplicate_case_number
JH300967,2021-08-02 00:00:00,NARCOTICS,NARCOTICS - DETAIL,"SCHOOL, PUBLIC, BUILDING",Y,4,41.68651420258801,-87.72837036817315,duplicate_case_number
JG778934,2023-08-15 00:00:00,ROBBERY,ROBBERY - DETAIL,ALLEY,false,16,41.86910299275871,-87.7624633076354,duplicate_case_number
JF987574,2022-07-15 23:44:20,BATTERY,BATTERY - DETAIL,  RESTAURANT  ,False,13,41.8089022432291,-87.55835455952119,duplicate_case_number
JE167651,2020-01-16 19:22:30,BATTERY,BATTERY - DETAIL,GROCERY/FOOD STORE,0,2,41.70728313011381,-87.5648886996982,duplicate_case_number
JH656249,2023-07-26 00:00:00,BATTERY,BATTERY - DETAIL,SIDEWALK,N,8,41.93495439691267,-87.64706960446702,duplicate_case_number
JG532373,2020-03-03 20:58:39,BATTERY,BATTERY - DETAIL,RESIDENCE,False,25,41.74808751757488,-87.74402340041624,duplicate_case_number
JC489470,2020-03-27 00:00:00,BATTERY,BATTERY - DETAIL,BANK,N,21,41.66603754687003,-87.83936885819713,duplicate_case_number
JE811748,2024-03-04 19:09:43,ASSAULT,ASSAULT - DETAIL,"SCHOOL, PUBLIC, BUILDING",,19,41.87284504496663,-87.68821133320137,duplicate_case_number
JC359826,2022-06-03 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,GROCERY/FOOD STORE,N,14,41.84567690148917,-87.69470376615055,duplicate_case_number
JG793520,2023-07-22 01:43:22,THEFT,THEFT - DETAIL,CTA PLATFORM,False,7,41.81418172801204,-87.88885678968445,duplicate_case_number
JE457016,2024-08-14 00:00:00,NARCOTICS,NARCOTICS - DETAIL,STREET,true,99,,,duplicate_case_number
JD500099,2021-05-01 23:30:44,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",False,21,,,duplicate_case_number
JC486903,2024-11-11 00:00:00,THEFT,THEFT - DETAIL,ALLEY,false,,41.6718255919588,-87.6439066890114,duplicate_case_number
JH146372,2020-03-13 20:21:46,THEFT,THEFT - DETAIL,GAS STATION,False,1,41.753716375708606,-87.7535718232628,duplicate_case_number
JE648588,2023-08-22 00:00:00,ASSAULT,ASSAULT - DETAIL,  ALLEY  ,false,24,41.74237898362616,-87.78546458119791,duplicate_case_number
JD763003,2023-04-01 00:00:00,ASSAULT,ASSAULT - DETAIL,RESTAURANT,Y,9,41.65790467561172,-87.58418426815298,duplicate_case_number
JH312825,2021-05-22 14:20:56,THEFT,THEFT - DETAIL,STREET,False,6,41.950711946778206,-87.93532657561995,duplicate_case_number
JD277744,2022-09-07 22:52:10,ASSAULT,ASSAULT - DETAIL,CTA PLATFORM,True,7,,,duplicate_case_number
JD544922,2020-03-31 17:38:58,THEFT,THEFT - DETAIL,RESTAURANT,0,19,41.84213829932175,-87.74832317071922,duplicate_case_number
JG990430,2022-12-22 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,PARK,false,1,41.79299026507935,-87.74636799290197,duplicate_case_number
JG526389,2020-03-09 03:48:52,ROBBERY,ROBBERY - DETAIL,GAS STATION,False,7,41.74002519384178,-87.76151391207556,duplicate_case_number
JC476760,2020-11-17 04:04:34,ARSON,ARSON - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,18,,,duplicate_case_number
JE333522,2020-06-16 00:00:00,ASSAULT,ASSAULT - DETAIL,APARTMENT,false,10,41.65962943832546,-87.87446867133679,duplicate_case_number
JH412198,2023-03-04 16:17:36,BATTERY,BATTERY - DETAIL,GROCERY/FOOD STORE,False,7,42.00283075441904,-87.72802297026608,duplicate_case_number
JC305985,2021-01-25 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,BANK,false,12,,,duplicate_case_number
JF532699,2022-07-25 00:00:00,ASSAULT,ASSAULT - DETAIL,PARKING LOT/GARAGE,true,23,41.669852627369416,-87.78226857023346,duplicate_case_number
JG549414,2021-06-11 09:01:22,BATTERY,BATTERY - DETAIL,APARTMENT,False,20,41.869748869494536,-87.92761914606484,duplicate_case_number
JF708765,2022-05-30 06:04:24,BATTERY,BATTERY - DETAIL,BANK,,13,41.87644624707384,-87.85948365575126,duplicate_case_number
JD866493,2020-08-14 00:00:00,THEFT,THEFT - DETAIL,ALLEY,Y,5,41.75111761651633,-87.78687657252277,duplicate_case_number
JD485405,2023-09-11 00:00:00,ASSAULT,ASSAULT - DETAIL,  GAS STATION  ,false,12,41.94030191970271,-87.68580578150352,duplicate_case_number
JE183094,2023-04-20 14:52:25,ROBBERY,ROBBERY - DETAIL,ALLEY,,20,41.64883983268519,-87.70621009783531,duplicate_case_number
JG168958,2021-05-31 00:00:00,ROBBERY,ROBBERY - DETAIL,  CTA PLATFORM  ,N,,41.82589927473946,-87.61904092042761,duplicate_case_number
JC759457,2022-01-20 16:01:39,BATTERY,BATTERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,,41.945026215580505,-87.52906100788474,duplicate_case_number
JE265488,2020-01-05 19:35:04,BATTERY,BATTERY - DETAIL,RESIDENCE,,6,41.67815679704877,-87.63702133501108,duplicate_case_number
JD440218,2021-01-10 00:00:00,BATTERY,BATTERY - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",N,19,41.92848094806706,-87.90565531199884,duplicate_case_number
JH475477,2022-01-11 16:12:24,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,RESTAURANT,0,9A,41.8630449308919,-87.60019041103949,duplicate_case_number
JE879746,2023-02-24 00:00:00,NARCOTICS,NARCOTICS - DETAIL,PARKING LOT/GARAGE,true,4,41.882460518663954,-87.91756623222173,duplicate_case_number
JG252724,2024-04-10 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,RESTAURANT,false,25,41.8579082938877,-87.81682717054565,duplicate_case_number
JE496230,2024-04-26 00:00:00,BURGLARY,BURGLARY - DETAIL,RESTAURANT,false,19,41.89968761471563,-87.92742672854901,duplicate_case_number
JC940104,2024-01-19 11:18:19,OTHER OFFENSE,OTHER OFFENSE - DETAIL,PARKING LOT/GARAGE,,7,41.88273312786848,-87.80122448554388,duplicate_case_number
JC721516,2024-12-04 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,  ALLEY  ,true,9,41.9708248959495,-87.63898563510205,duplicate_case_number
JF499850,2023-05-12 21:42:23,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",0,05,41.77384170878674,-87.8098284358722,duplicate_case_number
JF468613,2024-02-19 01:24:10,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESTAURANT,False,99,41.75224080543982,-87.62215553684914,duplicate_case_number
JG343583,2021-02-10 15:40:35,ASSAULT,ASSAULT - DETAIL,PARKING LOT/GARAGE,False,99,,,duplicate_case_number
JG533394,2024-01-23 19:05:38,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,0,7,41.85086571662029,-87.68198914889231,duplicate_case_number
JC938722,2021-10-15 19:13:24,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,BANK,True,10,41.67177779572917,-87.76028173495581,duplicate_case_number
JG357329,2023-08-27 12:00:06,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  STREET  ,,23,41.81578411004973,-87.62759604671554,duplicate_case_number
JC828760,2023-10-09 03:34:53,ASSAULT,ASSAULT - DETAIL,GROCERY/FOOD STORE,False,6,41.94802475946527,-87.64745505455225,duplicate_case_number
JH604621,2024-09-28 00:00:00,BATTERY,BATTERY - DETAIL,SIDEWALK,Y,23,41.763682285618685,-87.59301178098522,duplicate_case_number
JG794027,2020-05-08 00:00:00,THEFT,THEFT - DETAIL,RESTAURANT,N,010,41.79879901225989,-87.939372643832,duplicate_case_number
JF468513,2022-09-17 00:06:12,ASSAULT,ASSAULT - DETAIL,  RESTAURANT  ,False,19,41.93960735229725,-87.55343699737281,duplicate_case_number
JC431189,2024-08-16 00:00:00,NARCOTICS,NARCOTICS - DETAIL,GROCERY/FOOD STORE,false,18,41.89532096515536,-87.80514547389565,duplicate_case_number
JF233362,2022-06-26 21:19:50,THEFT,THEFT - DETAIL,  RESTAURANT  ,,20,41.99882422710404,-87.57689251388754,duplicate_case_number
JF456324,2023-06-10 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,RESTAURANT,N,25,41.77615636594663,-87.87381070127967,duplicate_case_number
JD697900,2024-03-06 22:35:58,ROBBERY,ROBBERY - DETAIL,  SIDEWALK  ,0,1,41.9636684311548,-87.60617842120207,duplicate_case_number
JG558700,2020-04-12 11:51:49,THEFT,THEFT - DETAIL,RESIDENCE,,13,41.969661305806575,-87.73474062967655,duplicate_case_number
JF667003,2022-06-04 16:04:27,ASSAULT,ASSAULT - DETAIL,  ALLEY  ,True,2,41.83668621771095,-87.61947408260315,duplicate_case_number
JD516815,2020-08-22 02:01:52,ASSAULT,ASSAULT - DETAIL,ALLEY,,13,41.945758268946136,-87.57197212875883,duplicate_case_number
JC598598,2020-01-05 15:40:10,THEFT,THEFT - DETAIL,GAS STATION,False,6,41.78600550089168,-87.92390620768604,duplicate_case_number
JE275067,2022-12-08 15:53:35,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,APARTMENT,True,9,41.78333363286543,-87.88284778943576,duplicate_case_number
JD962269,2020-06-14 00:10:30,CRIMINAL TRESPASS,CRIMINAL TRESPASS - DETAIL,SIDEWALK,1,7,41.77313904910677,-87.56694344425371,duplicate_case_number
JE362554,2024-12-19 16:34:04,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,PARK,,16,41.79536465573191,-87.91867556172879,duplicate_case_number
JF267643,2020-09-11 14:16:36,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,BANK,0,18,41.97500492763901,-87.59980346350396,duplicate_case_number
JC123205,2024-05-13 17:14:04,ROBBERY,ROBBERY - DETAIL,RESIDENCE,False,013,41.71780799686504,-87.6432266948406,duplicate_case_number
JC311511,2022-02-16 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  ALLEY  ,false,5,41.72358772499866,-87.83198167162548,duplicate_case_number
JH106005,2020-04-10 08:38:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  CTA PLATFORM  ,True,17,41.80693511150366,-87.72729818576518,duplicate_case_number
JH964045,2024-11-30 11:51:03,ROBBERY,ROBBERY - DETAIL,  ALLEY  ,False,19,41.77220025737072,-87.64362129786035,duplicate_case_number
JD527441,2022-10-15 00:00:00,BATTERY,BATTERY - DETAIL,APARTMENT,true,13,41.87237133169781,-87.65167176351042,duplicate_case_number
JC324674,2021-10-11 00:00:00,THEFT,THEFT - DETAIL,PARK,false,17,41.82087602499004,-87.54920561619738,duplicate_case_number
JD736005,2021-09-17 00:00:00,THEFT,THEFT - DETAIL,"SCHOOL, PUBLIC, BUILDING",false,7,,,duplicate_case_number
JE728934,2023-02-13 08:49:37,ASSAULT,ASSAULT - DETAIL,SIDEWALK,,4,,,duplicate_case_number
JC178882,2024-12-01 00:00:00,ROBBERY,ROBBERY - DETAIL,ALLEY,false,3,41.99233582804304,-87.77839020286692,duplicate_case_number
JG421228,2020-09-29 11:44:52,ROBBERY,ROBBERY - DETAIL,RESIDENCE,False,1,41.96273918038716,-87.57219407263798,duplicate_case_number
JG109699,2021-11-22 03:52:04,ROBBERY,ROBBERY - DETAIL,PARKING LOT/GARAGE,0,6,42.01754120264618,-87.86896764916035,duplicate_case_number
JD852170,2023-10-05 16:43:35,THEFT,THEFT - DETAIL,RESIDENCE,False,2,41.94429050372346,-87.5271681841966,duplicate_case_number
JD178458,2020-03-31 17:34:49,BATTERY,BATTERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,25,41.9616328597473,-87.93435491529169,duplicate_case_number
JC982273,2021-08-07 09:32:58,OTHER OFFENSE,OTHER OFFENSE - DETAIL,  PARKING LOT/GARAGE  ,False,3,41.84091662915992,-87.65445938345957,duplicate_case_number
JG889256,2022-10-08 17:59:04,ASSAULT,ASSAULT - DETAIL,GROCERY/FOOD STORE,False,13,42.019185666931705,-87.650749536212,duplicate_case_number
JH827658,2021-11-15 19:08:54,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,RESIDENCE,0,6,41.866734840597296,-87.53873163383793,duplicate_case_number
JE347807,2024-06-27 03:54:08,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,ALLEY,False,10,41.99051701126961,-87.54296209243255,duplicate_case_number
JC418389,2021-12-28 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,GAS STATION,false,2,,,duplicate_case_number
JH978630,2024-04-23 04:31:16,THEFT,THEFT - DETAIL,BANK,False,5,41.66383835848511,-87.57660951750833,duplicate_case_number
JF137870,2023-10-06 12:52:17,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,  RESIDENCE  ,False,9,41.90769395076302,-87.8067953861588,duplicate_case_number
JG636676,2024-09-03 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  SIDEWALK  ,N,20,42.01407812131731,-87.72190765722115,duplicate_case_number
JD804725,2023-04-25 14:17:45,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,RESTAURANT,False,13,42.017087820171405,-87.81240262350822,duplicate_case_number
JC478251,2021-03-16 08:50:53,BATTERY,BATTERY - DETAIL,BANK,False,25,,,duplicate_case_number
JE915811,2021-10-10 18:46:12,ASSAULT,ASSAULT - DETAIL,  SIDEWALK  ,False,13,41.98973977300049,-87.93061733140087,duplicate_case_number
JC588696,2020-11-30 06:45:36,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,PARK,True,15,,,duplicate_case_number
JE782004,2024-07-14 00:00:00,BATTERY,BATTERY - DETAIL,  RESTAURANT  ,Y,22,41.850091046336175,-87.625543433141,duplicate_case_number
JH277819,2024-08-31 00:00:00,THEFT,THEFT - DETAIL,PARKING LOT/GARAGE,false,13,41.77996902549432,-87.86391525968382,duplicate_case_number
JE288048,2023-10-05 00:00:00,OTHER OFFENSE,OTHER OFFENSE - DETAIL,RESTAURANT,Y,9,41.74965865922724,-87.52806710424574,duplicate_case_number
JG807203,2020-02-28 00:00:00,THEFT,THEFT - DETAIL,RESTAURANT,N,2,41.96391633984998,-87.73257066654175,duplicate_case_number
JG711177,2024-07-11 14:38:50,THEFT,THEFT - DETAIL,RESIDENCE,,11,41.68772659448605,-87.59482338102748,duplicate_case_number
JG507382,2020-07-22 01:09:40,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,GAS STATION,False,17,41.76599556540311,-87.78177377171988,duplicate_case_number
JH343154,2024-10-06 00:29:16,THEFT,THEFT - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",,19,41.75778774537389,-87.6620524937132,duplicate_case_number
JD931600,2021-06-13 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  PARKING LOT/GARAGE  ,false,1,42.01767256512377,-87.92041446191455,duplicate_case_number
JD387721,2021-05-16 02:59:20,BATTERY,BATTERY - DETAIL,STREET,,14,41.79842361601332,-87.60322645448116,duplicate_case_number
JD155015,2023-05-03 04:26:27,THEFT,THEFT - DETAIL,PARKING LOT/GARAGE,0,22,41.67496966601095,-87.64445737379627,duplicate_case_number
JH510213,2022-05-12 21:29:58,ROBBERY,ROBBERY - DETAIL,SIDEWALK,,19,41.772168894748376,-87.57858634135958,duplicate_case_number
JC495452,2021-09-27 00:00:00,ROBBERY,ROBBERY - DETAIL,  GROCERY/FOOD STORE  ,true,99,41.99954136348169,-87.7637638722779,duplicate_case_number
JF900581,2023-09-20 00:00:00,THEFT,THEFT - DETAIL,  GROCERY/FOOD STORE  ,true,14,41.9272783509948,-87.59739164993059,duplicate_case_number
JH157476,2021-03-26 19:08:47,ASSAULT,ASSAULT - DETAIL,  PARKING LOT/GARAGE  ,False,4,41.81340911404928,-87.90277776641653,duplicate_case_number
JH301332,2024-04-05 18:21:44,BATTERY,BATTERY - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",True,2,41.69014975156417,-87.60432711953544,duplicate_case_number
JC485379,2024-07-16 00:00:00,BURGLARY,BURGLARY - DETAIL,STREET,N,15,41.94803748020114,-87.91903332384199,duplicate_case_number
JG941761,2024-08-30 06:47:12,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,  ALLEY  ,False,4,,,duplicate_case_number
JC474456,2023-10-02 00:00:00,BATTERY,BATTERY - DETAIL,RESTAURANT,true,18,41.819575234375016,-87.76598930688752,duplicate_case_number
JD744396,2021-02-03 14:17:59,BATTERY,BATTERY - DETAIL,GROCERY/FOOD STORE,True,25,41.71861740927822,-87.60326528536035,duplicate_case_number
JC757787,2023-08-19 15:20:15,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,"SCHOOL, PUBLIC, BUILDING",False,16,,,duplicate_case_number
JH991929,2024-05-18 20:49:47,ASSAULT,ASSAULT - DETAIL,  GAS STATION  ,,11,41.99730010660782,-87.76306094785481,duplicate_case_number
JD526839,2021-07-12 00:00:00,WEAPONS VIOLATION,WEAPONS VIOLATION - DETAIL,GROCERY/FOOD STORE,false,,41.98093823341244,-87.65583672678171,duplicate_case_number
JE415303,2020-04-29 11:05:41,ASSAULT,ASSAULT - DETAIL,  PARK  ,False,10,41.985037277184574,-87.56257501633942,duplicate_case_number
JE280182,2023-07-21 00:00:00,ASSAULT,ASSAULT - DETAIL,PARK,true,23,41.8125142261773,-87.79739667332197,duplicate_case_number
JH659411,2022-01-17 14:48:24,BURGLARY,BURGLARY - DETAIL,ALLEY,,9,41.766799442724405,-87.82726967012646,duplicate_case_number
JC871197,2021-08-29 17:13:17,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,  STREET  ,False,16,41.85972019894118,-87.62576432424595,duplicate_case_number
JG280177,2021-04-29 01:48:46,THEFT,THEFT - DETAIL,  GROCERY/FOOD STORE  ,False,9,,,duplicate_case_number
JG395620,2024-05-09 05:21:30,THEFT,THEFT - DETAIL,PARK,False,22,41.872639751283,-87.58159495792742,duplicate_case_number
JH563174,2023-10-04 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  SIDEWALK  ,false,11,41.8409775437808,-87.81905991669649,duplicate_case_number
JD350843,2020-09-02 17:30:05,THEFT,THEFT - DETAIL,SIDEWALK,False,23,41.76403430427911,-87.74387940878552,duplicate_case_number
JH138611,2021-06-04 10:33:17,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,False,18,,,duplicate_case_number
JG902016,2023-04-18 00:00:00,ROBBERY,ROBBERY - DETAIL,"SCHOOL, PUBLIC, BUILDING",false,25,41.91705854714956,-87.71943809888906,duplicate_case_number
JG874750,2022-11-29 07:40:52,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,False,4,41.780755706188486,-87.75830019018605,duplicate_case_number
JD932362,2020-05-26 05:02:55,NARCOTICS,NARCOTICS - DETAIL,  RESIDENCE  ,,16,41.95829619527282,-87.71088600511867,duplicate_case_number
JH272101,2020-02-13 00:00:00,ROBBERY,ROBBERY - DETAIL,GROCERY/FOOD STORE,false,9,41.92868178228011,-87.8316111391572,duplicate_case_number
JF507763,2022-09-07 00:03:49,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,CTA PLATFORM,False,5,41.953449009419806,-87.7025843480892,duplicate_case_number
JC558608,2024-11-09 00:00:00,ASSAULT,ASSAULT - DETAIL,SIDEWALK,false,9A,42.009591669369584,-87.9349584495574,duplicate_case_number
JC459443,2020-08-07 09:16:42,ASSAULT,ASSAULT - DETAIL,CTA PLATFORM,1,22,,,duplicate_case_number
JH452931,2024-09-28 17:51:39,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,GROCERY/FOOD STORE,0,22,41.71926429253164,-87.88151936953885,duplicate_case_number
JF432752,2022-02-02 00:00:00,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,"  SCHOOL, PUBLIC, BUILDING  ",false,14,41.70048917890838,-87.65927014528967,duplicate_case_number
JH253341,2023-10-20 00:00:00,BURGLARY,BURGLARY - DETAIL,  SIDEWALK  ,N,17A,41.79160808357796,-87.87588801184168,duplicate_case_number
JD806533,2020-08-29 00:00:00,THEFT,THEFT - DETAIL,BANK,N,15,41.72279744126688,-87.81928771482649,duplicate_case_number
JF266846,2023-10-05 20:38:03,BURGLARY,BURGLARY - DETAIL,  GROCERY/FOOD STORE  ,False,14,41.652388245932535,-87.80236324246759,duplicate_case_number
JC225939,2022-08-18 08:53:51,THEFT,THEFT - DETAIL,SIDEWALK,False,21,,,duplicate_case_number
JF691299,2024-01-07 00:00:00,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,CTA PLATFORM,N,25,41.92733516834903,-87.90344976217008,duplicate_case_number
JF755827,2023-01-01 14:44:06,BATTERY,BATTERY - DETAIL,STREET,False,8,41.842973893096335,-87.61479589852078,duplicate_case_number
JD651885,2021-08-22 03:07:42,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,PARK,0,3,41.94826105183025,-87.676780199898,duplicate_case_number
JH631347,2022-11-06 00:00:00,NARCOTICS,NARCOTICS - DETAIL,GROCERY/FOOD STORE,false,20,41.697286301660455,-87.64280734735519,duplicate_case_number
JH853443,2020-09-13 14:51:44,NARCOTICS,NARCOTICS - DETAIL,  GROCERY/FOOD STORE  ,,22,,,duplicate_case_number
JE661988,2021-07-17 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,PARKING LOT/GARAGE,false,19,,,duplicate_case_number
JG501451,2022-04-29 16:45:36,NARCOTICS,NARCOTICS - DETAIL,SIDEWALK,,9,41.88890160990508,-87.62292351271805,duplicate_case_number
JG752179,2023-09-19 00:00:00,NARCOTICS,NARCOTICS - DETAIL,SIDEWALK,false,15,41.89411678789239,-87.78845366605488,duplicate_case_number
JC977020,2022-08-20 13:41:11,THEFT,THEFT - DETAIL,  SIDEWALK  ,False,16,41.844242014563896,-87.90080317456321,duplicate_case_number
JD298227,2021-02-24 19:03:48,ASSAULT,ASSAULT - DETAIL,GROCERY/FOOD STORE,0,19,41.91817743024855,-87.66685857891325,duplicate_case_number
JD504051,2020-10-15 22:40:51,ASSAULT,ASSAULT - DETAIL,  PARKING LOT/GARAGE  ,True,1,41.67748420040961,-87.67128292222382,duplicate_case_number
JD499322,2022-08-02 07:23:19,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,SIDEWALK,,15,,,duplicate_case_number
JH441944,2020-09-26 22:26:00,THEFT,THEFT - DETAIL,PARK,False,24,41.78817768559101,-87.92248707150533,duplicate_case_number
JF371426,2020-03-24 23:58:39,NARCOTICS,NARCOTICS - DETAIL,PARKING LOT/GARAGE,,6,41.891277541314274,-87.6806565012654,duplicate_case_number
JD584389,2022-10-30 00:00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,RESTAURANT,N,023,41.8552096036685,-87.91198425093816,duplicate_case_number
JF479466,2021-12-18 08:04:17,THEFT,THEFT - DETAIL,PARK,True,15,41.80896598190295,-87.80690893430544,duplicate_case_number
JC639858,2020-08-18 10:09:13,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,STREET,False,8,41.86195076534684,-87.59535372630717,duplicate_case_number
JE165969,2022-01-16 05:35:18,CRIMINAL DAMAGE,CRIMINAL DAMAGE - DETAIL,CTA PLATFORM,False,21,41.95888884040807,-87.80466768594586,duplicate_case_number
JE232250,2023-02-16 00:00:00,NARCOTICS,NARCOTICS - DETAIL,RESTAURANT,N,23,42.00184833505238,-87.54436443008193,duplicate_case_number
JC940939,2024-12-23 05:59:10,ASSAULT,ASSAULT - DETAIL,ALLEY,True,4,,,duplicate_case_number
JF744812,2021-09-16 08:27:47,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT - DETAIL,GAS STATION,,18,41.78034462212007,-87.6428169170638,duplicate_case_number
JD738254,2021-01-03 04:39:25,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE - DETAIL,  SIDEWALK  ,,13,41.68486040883391,-87.85101575992418,duplicate_case_number
